Identificación;Nombres;Apellidos;Edad;FechaNacimiento;Direccion;Telefono;EstadoCivil;IdentificacionConyugue;NombreConyugue;EsSujetoCredito
CL01;NOMB CL01;APELL CL01;59;02/02/1993;DIR CL01;TEL CL01;SOLTERO;;;false
CL02;NOMB CL02;APELL CL02;51;26/06/1985;DIR CL02;TEL CL02;CASADO;CYCL02;NOMCYCL02;false
CL03;NOMB CL03;APELL CL03;48;21/02/1980;DIR CL03;TEL CL03;SOLTERO;;;false
CL04;NOMB CL04;APELL CL04;58;02/09/1965;DIR CL04;TEL CL04;SOLTERO;;;false
CL05;NOMB CL05;APELL CL05;50;20/10/1963;DIR CL05;TEL CL05;SOLTERO;;;false
CL06;NOMB CL06;APELL CL06;60;04/11/1993;DIR CL06;TEL CL06;CASADO;CYCL06;NOMCYCL06;true
CL07;NOMB CL07;APELL CL07;46;20/04/1981;DIR CL07;TEL CL07;CASADO;CYCL07;NOMCYCL07;true
CL08;NOMB CL08;APELL CL08;55;19/05/1986;DIR CL08;TEL CL08;CASADO;CYCL08;NOMCYCL08;true
CL09;NOMB CL09;APELL CL09;65;13/09/1987;DIR CL09;TEL CL09;SOLTERO;;;true
CL10;NOMB CL10;APELL CL10;45;23/10/1992;DIR CL10;TEL CL10;SOLTERO;;;true
CL11;NOMB CL11;APELL CL11;42;12/05/1984;DIR CL11;TEL CL11;SOLTERO;;;true
CL12;NOMB CL12;APELL CL12;51;26/07/1966;DIR CL12;TEL CL12;SOLTERO;;;true
CL13;NOMB CL13;APELL CL13;45;19/04/1961;DIR CL13;TEL CL13;SOLTERO;;;true
CL14;NOMB CL14;APELL CL14;45;27/09/1966;DIR CL14;TEL CL14;CASADO;CYCL14;NOMCYCL14;true
CL15;NOMB CL15;APELL CL15;29;15/06/2000;DIR CL15;TEL CL15;CASADO;CYCL15;NOMCYCL15;true
CL16;NOMB CL16;APELL CL16;28;08/04/1986;DIR CL16;TEL CL16;CASADO;CYCL16;NOMCYCL16;true
CL17;NOMB CL17;APELL CL17;23;11/11/1985;DIR CL17;TEL CL17;CASADO;CYCL17;NOMCYCL17;true
CL18;NOMB CL18;APELL CL18;65;16/06/1974;DIR CL18;TEL CL18;SOLTERO;;;true
CL19;NOMB CL19;APELL CL19;50;24/07/1997;DIR CL19;TEL CL19;SOLTERO;;;true
CL20;NOMB CL20;APELL CL20;27;17/04/1999;DIR CL20;TEL CL20;SOLTERO;;;true
